dataset,model,seed,outlier_rate,mmd,sliced_wasserstein,precision,coverage,support_coverage,nll,radius,train_time_sec
two_moons,vae,1,0.03,0.0029904842376708984,0.15278039369969842,0.4985,0.941,0.7665995975855131,,0.08507923874110516,0.409517765045166
two_moons,ddpm,1,0.03,0.0013638734817504883,0.09086238208720229,0.608,0.976,0.8269617706237424,,0.08507923874110516,1.2840828895568848
two_moons,kde,1,0.08,0.0010218021529728727,0.0656976896769999,0.852,0.988,0.9175050301810865,1.8329783085685603,0.08507923874110516,0.22132492065429688
two_moons,gmm,1,0.08,0.0011155266564122357,0.07196899010378888,0.904,0.9745,0.8350100603621731,1.7310194839575905,0.08507923874110516,0.2341010570526123
two_moons,vae,1,0.08,0.005748748779296875,0.18501905030055152,0.464,0.9105,0.7283702213279678,,0.08507923874110516,0.45084595680236816
two_moons,ddpm,1,0.08,0.0009695291519165039,0.10102239496940818,0.554,0.957,0.7967806841046278,,0.08507923874110516,1.5658369064331055
two_moons,kde,1,0.15,0.0025278010093319203,0.10173578647907036,0.8015,0.9875,0.8933601609657947,1.8852530188675345,0.08507923874110516,0.2751450538635254
two_moons,gmm,1,0.15,0.001447695318882447,0.08451844748385652,0.8805,0.9855,0.8571428571428571,1.7952914237692243,0.08507923874110516,0.29435133934020996
two_moons,vae,1,0.15,0.002586841583251953,0.16516194274878035,0.4475,0.899,0.738430583501006,,0.08507923874110516,0.790341854095459
two_moons,ddpm,1,0.15,0.0032857656478881836,0.15422777579450964,0.4915,0.949,0.7645875251509054,,0.08507923874110516,1.308675765991211
spiral,kde,1,0.0,0.000616702497867383,0.04848028561610697,0.958,0.9905,0.8377896613190731,2.1399735850671244,0.1124270807259429,0.18787312507629395
spiral,gmm,1,0.0,0.0010845095820011252,0.06705838247540896,0.8145,0.9595,0.7468805704099821,2.5903267377543586,0.1124270807259429,0.18299412727355957
spiral,vae,1,0.0,0.0012351274490356445,0.08102641160509504,0.726,0.911,0.696969696969697,,0.1124270807259429,0.44737887382507324
spiral,ddpm,1,0.0,0.002411484718322754,0.09813293797683167,0.7055,0.9315,0.7165775401069518,,0.1124270807259429,1.306257963180542
spiral,kde,1,0.03,0.0014034342244770848,0.06881336228836493,0.862,0.984,0.82174688057041,2.3968310424511228,0.1124270807259429,0.2063460350036621
spiral,gmm,1,0.03,0.0006771959552382967,0.05403405467196777,0.802,0.9605,0.7789661319073083,2.555027450467892,0.1124270807259429,0.3306858539581299
spiral,vae,1,0.03,0.0003560781478881836,0.06998054159536407,0.714,0.9195,0.7130124777183601,,0.1124270807259429,0.3897371292114258
spiral,ddpm,1,0.03,0.0003867149353027344,0.06856930650823713,0.7155,0.944,0.7201426024955436,,0.1124270807259429,1.4081599712371826
